play_id,game_id,drive_id,quarter,clock,play_text,play_type,yards_gained,scoring_play,home_score,away_score,down,distance,yardline,yards_to_endzone,end_yardline,win_prob_teamA
40167177239,401671772,4016717721,1,15:00,"E.Evans kicks 65 yards from LA 35 to end zone, Touchback to the SF 30.",Kickoff,0,FALSE,0,0,0,0,35,65,70,0.566454
40167177256,401671772,4016717721,1,15:00,(Shotgun) J.Mason up the middle to SF 36 for 6 yards (N.Gallimore; C.Rozeboom).,Rush,6,FALSE,0,0,1,10,70,70,64,0.557661
40167177278,401671772,4016717721,1,14:25,"B.Purdy pass short left to B.Aiyuk to SF 47 for 11 yards (C.Rozeboom). PENALTY on LA-C.Rozeboom, Face Mask, 15 yards, enforced at SF 47. Penalty on LA-B.Young, Roughing the Passer, declined.",Pass Reception,26,FALSE,0,0,2,4,64,64,38,0.526786
4.01672E+11,401671772,4016717721,1,14:10,(Shotgun) B.Purdy pass incomplete short right to J.Jennings (B.Young).,Pass Incompletion,0,FALSE,0,0,1,10,38,24,38,0.471895
4.01672E+11,401671772,4016717721,1,14:03,"J.Mason left tackle to LA 31 for 7 yards (Q.Lake, T.Reeder).",Rush,7,FALSE,0,0,2,10,38,38,31,0.479367
4.01672E+11,401671772,4016717721,1,13:17,(Shotgun) J.Mason up the middle to LA 24 for 7 yards (K.Kinchens; K.Curl).,Rush,7,FALSE,0,0,3,3,31,31,24,0.489178
4.01672E+11,401671772,4016717721,1,12:37,(Shotgun) J.Mason right guard to LA 20 for 4 yards (T.White; J.Verse).,Rush,4,FALSE,0,0,1,10,24,24,20,0.498479
4.01672E+11,401671772,4016717721,1,11:59,B.Purdy pass short right to J.Mason pushed ob at LA 13 for 7 yards (T.Reeder).,Pass Reception,7,FALSE,0,0,2,6,20,20,13,0.468917
4.01672E+11,401671772,4016717721,1,11:12,"B.Purdy pass short middle to J.Jennings for 13 yards, TOUCHDOWN.J.Moody extra point is GOOD, Center-T.Pepper, Holder-M.Wishnowsky.",Passing Touchdown,13,TRUE,0,7,1,10,13,13,0,0.449618
4.01672E+11,401671772,4016717721,1,11:12,Timeout at 11:12.,Official Timeout,0,FALSE,0,7,1,10,65,65,65,0.451505
4.01672E+11,401671772,4016717722,1,11:12,"J.Moody kicks 65 yards from SF 35 to end zone, Touchback to the LA 30.",Kickoff,0,FALSE,0,7,0,0,65,65,30,0.439609
4.01672E+11,401671772,4016717722,1,11:12,K.Williams right guard to LA 35 for 5 yards (T.Hufanga).,Rush,5,FALSE,0,7,1,10,30,70,35,0.471163
4.01672E+11,401671772,4016717722,1,10:31,K.Williams up the middle to LA 38 for 3 yards (D.Campbell; L.Floyd).,Rush,3,FALSE,0,7,2,5,35,65,38,0.586021
4.01672E+11,401671772,4016717722,1,9:56,(Shotgun) M.Stafford pass incomplete short left to T.Johnson.,Pass Incompletion,0,FALSE,0,7,3,2,38,87,38,0.603385
4.01672E+11,401671772,4016717722,1,9:40,"E.Evans punts 48 yards to SF 14, Center-A.Ward. J.Cowing pushed ob at SF 23 for 9 yards (N.Hampton).",Punt,9,FALSE,0,7,4,2,38,62,77,0.600937
